t,EGT_SEL,FLIGHT_MOD,FMV_SEL,HPTC_SEL,LPTC_SEL,N1_SEL,N2_ACTSEL,OIL_P,OIL_TEMP,PS3_SEL,PT2_SEL,P0_SEL,TAT,TBV_SEL,TRA_SEL,T25_SEL,T3_SEL,VBV_SEL,VIB_CN1,VIB_CN2,VIB_TN1,VIB_TN2,VSV_SEL,WFM_SEL,XM
datenum,deg_C,_,_,%,%,%,%_RPM,psi,_,psi,mb,psi,deg_C,%,DEG,_,_,DEG,_,_,_,_,DEG,lb/h,mach
12/09/2011 03:59:02.125,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12/09/2011 03:59:02.375,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12/09/2011 03:59:02.625,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12/09/2011 03:59:02.875,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.15
12/09/2011 03:59:03.125,NaN,NaN,NaN,NaN,NaN,0,0,768,NaN,5.24984,NaN,NaN,27.75,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
12/09/2011 03:59:03.375,111.873,NaN,NaN,0,NaN,0,0,768,NaN,1.74986,NaN,NaN,27.75,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
12/09/2011 03:59:03.625,156.621,NaN,NaN,0,NaN,0,0,768,0,1.75006,NaN,NaN,27.75,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
12/09/2011 03:59:03.875,201.37,NaN,NaN,0,NaN,0,0,768,0,5.25004,NaN,NaN,27.75,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
12/09/2011 03:59:04.125,246.114,NaN,NaN,0,NaN,0,0,768,0,8.74974,NaN,NaN,27.75,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
